Precinct,,,,Electionwide,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY "" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,"Write-in
 ",,Total Votes,,,,,,,,,,,,,,,
Polling,98,"1,986",,Polling,0,0.00%,0,0.00%,8,8.25%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,50,51.55%,0,0.00%,2,2.06%,0,0.00%,0,0.00%,8,8.25%,0,0.00%,0,0.00%,2,2.06%,26,26.80%,1,1.03%,0,0.00%,0,0.00%,97,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,490,"1,986",,Vote by Mail,1,0.21%,0,0.00%,55,11.43%,,0,0.00%,2,0.42%,,0,0.00%,0,0.00%,7,1.46%,183,38.05%,0,0.00%,24,4.99%,0,0.00%,1,0.21%,62,12.89%,0,0.00%,1,0.21%,25,5.20%,119,24.74%,1,0.21%,0,0.00%,0,0.00%,481,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,588,"1,986",,Total,1,0.17%,0,0.00%,63,10.90%,,0,0.00%,2,0.35%,,0,0.00%,0,0.00%,7,1.21%,233,40.31%,0,0.00%,26,4.50%,0,0.00%,1,0.17%,70,12.11%,0,0.00%,1,0.17%,27,4.67%,145,25.09%,2,0.35%,0,0.00%,0,0.00%,578,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000021,,,,0000021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,105,"2,120",,Polling,0,0.00%,0,0.00%,9,8.82%,,0,0.00%,1,0.98%,,0,0.00%,0,0.00%,0,0.00%,61,59.80%,0,0.00%,0,0.00%,0,0.00%,1,0.98%,7,6.86%,0,0.00%,0,0.00%,0,0.00%,22,21.57%,1,0.98%,0,0.00%,0,0.00%,102,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,448,"2,120",,Vote by Mail,0,0.00%,0,0.00%,43,9.95%,,0,0.00%,4,0.93%,,0,0.00%,0,0.00%,7,1.62%,212,49.07%,0,0.00%,27,6.25%,0,0.00%,0,0.00%,45,10.42%,2,0.46%,0,0.00%,19,4.40%,72,16.67%,1,0.23%,0,0.00%,0,0.00%,432,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,553,"2,120",,Total,0,0.00%,0,0.00%,52,9.74%,,0,0.00%,5,0.94%,,0,0.00%,0,0.00%,7,1.31%,273,51.12%,0,0.00%,27,5.06%,0,0.00%,1,0.19%,52,9.74%,2,0.37%,0,0.00%,19,3.56%,94,17.60%,2,0.37%,0,0.00%,0,0.00%,534,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000022,,,,0000022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,77,"1,226",,Polling,1,1.30%,0,0.00%,2,2.60%,,0,0.00%,1,1.30%,,0,0.00%,0,0.00%,0,0.00%,50,64.94%,0,0.00%,3,3.90%,0,0.00%,0,0.00%,5,6.49%,0,0.00%,0,0.00%,1,1.30%,14,18.18%,0,0.00%,0,0.00%,0,0.00%,77,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,238,"1,226",,Vote by Mail,0,0.00%,0,0.00%,28,11.91%,,0,0.00%,3,1.28%,,1,0.43%,0,0.00%,1,0.43%,95,40.43%,0,0.00%,8,3.40%,0,0.00%,0,0.00%,28,11.91%,0,0.00%,1,0.43%,5,2.13%,65,27.66%,0,0.00%,0,0.00%,0,0.00%,235,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,315,"1,226",,Total,1,0.32%,0,0.00%,30,9.62%,,0,0.00%,4,1.28%,,1,0.32%,0,0.00%,1,0.32%,145,46.47%,0,0.00%,11,3.53%,0,0.00%,0,0.00%,33,10.58%,0,0.00%,1,0.32%,6,1.92%,79,25.32%,0,0.00%,0,0.00%,0,0.00%,312,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000023,,,,0000023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,105,"2,127",,Polling,0,0.00%,0,0.00%,5,4.76%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,46,43.81%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,12.38%,0,0.00%,0,0.00%,2,1.90%,38,36.19%,1,0.95%,0,0.00%,0,0.00%,105,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,253,"2,127",,Vote by Mail,1,0.40%,0,0.00%,26,10.48%,,0,0.00%,8,3.23%,,0,0.00%,0,0.00%,1,0.40%,96,38.71%,0,0.00%,14,5.65%,0,0.00%,2,0.81%,30,12.10%,0,0.00%,0,0.00%,9,3.63%,61,24.60%,0,0.00%,0,0.00%,0,0.00%,248,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,358,"2,127",,Total,1,0.28%,0,0.00%,31,8.78%,,0,0.00%,8,2.27%,,0,0.00%,0,0.00%,1,0.28%,142,40.23%,0,0.00%,14,3.97%,0,0.00%,2,0.57%,43,12.18%,0,0.00%,0,0.00%,11,3.12%,99,28.05%,1,0.28%,0,0.00%,0,0.00%,353,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000024,,,,0000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,95,"2,267",,Polling,0,0.00%,0,0.00%,7,7.61%,,0,0.00%,1,1.09%,,0,0.00%,0,0.00%,0,0.00%,43,46.74%,1,1.09%,3,3.26%,0,0.00%,0,0.00%,7,7.61%,0,0.00%,0,0.00%,0,0.00%,30,32.61%,0,0.00%,0,0.00%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,475,"2,267",,Vote by Mail,6,1.30%,0,0.00%,19,4.10%,,3,0.65%,5,1.08%,,0,0.00%,0,0.00%,8,1.73%,121,26.13%,2,0.43%,51,11.02%,0,0.00%,0,0.00%,79,17.06%,0,0.00%,0,0.00%,22,4.75%,146,31.53%,1,0.22%,0,0.00%,0,0.00%,463,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,570,"2,267",,Total,6,1.08%,0,0.00%,26,4.68%,,3,0.54%,6,1.08%,,0,0.00%,0,0.00%,8,1.44%,164,29.55%,3,0.54%,54,9.73%,0,0.00%,0,0.00%,86,15.50%,0,0.00%,0,0.00%,22,3.96%,176,31.71%,1,0.18%,0,0.00%,0,0.00%,555,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000025,,,,0000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,95,"2,191",,Polling,0,0.00%,0,0.00%,9,9.57%,,0,0.00%,0,0.00%,,0,0.00%,1,1.06%,0,0.00%,49,52.13%,0,0.00%,3,3.19%,0,0.00%,1,1.06%,8,8.51%,0,0.00%,0,0.00%,0,0.00%,23,24.47%,0,0.00%,0,0.00%,0,0.00%,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,383,"2,191",,Vote by Mail,4,1.07%,0,0.00%,18,4.83%,,0,0.00%,8,2.14%,,2,0.54%,1,0.27%,2,0.54%,181,48.53%,1,0.27%,20,5.36%,0,0.00%,0,0.00%,52,13.94%,0,0.00%,0,0.00%,10,2.68%,73,19.57%,1,0.27%,0,0.00%,0,0.00%,373,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,478,"2,191",,Total,4,0.86%,0,0.00%,27,5.78%,,0,0.00%,8,1.71%,,2,0.43%,2,0.43%,2,0.43%,230,49.25%,1,0.21%,23,4.93%,0,0.00%,1,0.21%,60,12.85%,0,0.00%,0,0.00%,10,2.14%,96,20.56%,1,0.21%,0,0.00%,0,0.00%,467,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000026,,,,0000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,101,"2,138",,Polling,0,0.00%,0,0.00%,9,9.00%,,0,0.00%,1,1.00%,,1,1.00%,0,0.00%,1,1.00%,53,53.00%,0,0.00%,1,1.00%,0,0.00%,0,0.00%,8,8.00%,0,0.00%,0,0.00%,0,0.00%,25,25.00%,1,1.00%,0,0.00%,0,0.00%,100,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,452,"2,138",,Vote by Mail,0,0.00%,0,0.00%,31,6.97%,,1,0.22%,5,1.12%,,0,0.00%,0,0.00%,12,2.70%,169,37.98%,0,0.00%,22,4.94%,1,0.22%,1,0.22%,76,17.08%,0,0.00%,0,0.00%,13,2.92%,114,25.62%,0,0.00%,0,0.00%,0,0.00%,445,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,553,"2,138",,Total,0,0.00%,0,0.00%,40,7.34%,,1,0.18%,6,1.10%,,1,0.18%,0,0.00%,13,2.39%,222,40.73%,0,0.00%,23,4.22%,1,0.18%,1,0.18%,84,15.41%,0,0.00%,0,0.00%,13,2.39%,139,25.50%,1,0.18%,0,0.00%,0,0.00%,545,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000027,,,,0000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,62,"2,467",,Polling,0,0.00%,0,0.00%,1,1.67%,,0,0.00%,1,1.67%,,0,0.00%,0,0.00%,0,0.00%,30,50.00%,0,0.00%,0,0.00%,0,0.00%,1,1.67%,6,10.00%,0,0.00%,0,0.00%,0,0.00%,21,35.00%,0,0.00%,0,0.00%,0,0.00%,60,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,432,"2,467",,Vote by Mail,4,0.95%,0,0.00%,14,3.31%,,4,0.95%,10,2.36%,,0,0.00%,0,0.00%,0,0.00%,175,41.37%,0,0.00%,24,5.67%,1,0.24%,2,0.47%,64,15.13%,0,0.00%,2,0.47%,10,2.36%,112,26.48%,1,0.24%,0,0.00%,0,0.00%,423,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,494,"2,467",,Total,4,0.83%,0,0.00%,15,3.11%,,4,0.83%,11,2.28%,,0,0.00%,0,0.00%,0,0.00%,205,42.44%,0,0.00%,24,4.97%,1,0.21%,3,0.62%,70,14.49%,0,0.00%,2,0.41%,10,2.07%,133,27.54%,1,0.21%,0,0.00%,0,0.00%,483,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000028,,,,0000028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,78,"1,921",,Polling,0,0.00%,0,0.00%,4,5.19%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,45,58.44%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,14.29%,0,0.00%,1,1.30%,0,0.00%,16,20.78%,0,0.00%,0,0.00%,0,0.00%,77,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,266,"1,921",,Vote by Mail,4,1.54%,0,0.00%,6,2.31%,,0,0.00%,14,5.38%,,0,0.00%,0,0.00%,2,0.77%,103,39.62%,0,0.00%,18,6.92%,0,0.00%,0,0.00%,37,14.23%,0,0.00%,1,0.38%,4,1.54%,68,26.15%,3,1.15%,0,0.00%,0,0.00%,260,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,344,"1,921",,Total,4,1.19%,0,0.00%,10,2.97%,,0,0.00%,14,4.15%,,0,0.00%,0,0.00%,2,0.59%,148,43.92%,0,0.00%,18,5.34%,0,0.00%,0,0.00%,48,14.24%,0,0.00%,2,0.59%,4,1.19%,84,24.93%,3,0.89%,0,0.00%,0,0.00%,337,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000029,,,,0000029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,59,"2,138",,Polling,1,1.72%,0,0.00%,5,8.62%,,1,1.72%,2,3.45%,,0,0.00%,0,0.00%,0,0.00%,35,60.34%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,8.62%,0,0.00%,0,0.00%,0,0.00%,9,15.52%,0,0.00%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,273,"2,138",,Vote by Mail,2,0.75%,0,0.00%,3,1.13%,,0,0.00%,5,1.88%,,1,0.38%,0,0.00%,0,0.00%,140,52.63%,0,0.00%,20,7.52%,2,0.75%,0,0.00%,33,12.41%,0,0.00%,0,0.00%,5,1.88%,53,19.92%,0,0.00%,2,0.75%,0,0.00%,266,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,332,"2,138",,Total,3,0.93%,0,0.00%,8,2.47%,,1,0.31%,7,2.16%,,1,0.31%,0,0.00%,0,0.00%,175,54.01%,0,0.00%,20,6.17%,2,0.62%,0,0.00%,38,11.73%,0,0.00%,0,0.00%,5,1.54%,62,19.14%,0,0.00%,2,0.62%,0,0.00%,324,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000030,,,,0000030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,67,"2,231",,Polling,0,0.00%,0,0.00%,6,8.96%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,47,70.15%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,8.96%,0,0.00%,0,0.00%,0,0.00%,7,10.45%,1,1.49%,0,0.00%,0,0.00%,67,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,255,"2,231",,Vote by Mail,2,0.81%,0,0.00%,14,5.67%,,0,0.00%,6,2.43%,,1,0.40%,0,0.00%,2,0.81%,95,38.46%,0,0.00%,26,10.53%,0,0.00%,1,0.40%,33,13.36%,0,0.00%,0,0.00%,9,3.64%,55,22.27%,3,1.21%,0,0.00%,0,0.00%,247,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,322,"2,231",,Total,2,0.64%,0,0.00%,20,6.37%,,0,0.00%,6,1.91%,,1,0.32%,0,0.00%,2,0.64%,142,45.22%,0,0.00%,26,8.28%,0,0.00%,1,0.32%,39,12.42%,0,0.00%,0,0.00%,9,2.87%,62,19.75%,4,1.27%,0,0.00%,0,0.00%,314,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000031,,,,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,79,"2,131",,Polling,0,0.00%,0,0.00%,2,2.53%,,0,0.00%,1,1.27%,,0,0.00%,0,0.00%,0,0.00%,50,63.29%,0,0.00%,2,2.53%,0,0.00%,1,1.27%,10,12.66%,0,0.00%,0,0.00%,0,0.00%,13,16.46%,0,0.00%,0,0.00%,0,0.00%,79,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,287,"2,131",,Vote by Mail,5,1.75%,0,0.00%,19,6.67%,,1,0.35%,4,1.40%,,0,0.00%,1,0.35%,1,0.35%,135,47.37%,0,0.00%,16,5.61%,0,0.00%,0,0.00%,33,11.58%,0,0.00%,0,0.00%,5,1.75%,62,21.75%,3,1.05%,0,0.00%,0,0.00%,285,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,366,"2,131",,Total,5,1.37%,0,0.00%,21,5.77%,,1,0.27%,5,1.37%,,0,0.00%,1,0.27%,1,0.27%,185,50.82%,0,0.00%,18,4.95%,0,0.00%,1,0.27%,43,11.81%,0,0.00%,0,0.00%,5,1.37%,75,20.60%,3,0.82%,0,0.00%,0,0.00%,364,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000032,,,,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,58,"2,074",,Polling,0,0.00%,0,0.00%,3,5.26%,,1,1.75%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,40,70.18%,0,0.00%,0,0.00%,0,0.00%,1,1.75%,9,15.79%,1,1.75%,0,0.00%,0,0.00%,2,3.51%,0,0.00%,0,0.00%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,262,"2,074",,Vote by Mail,4,1.54%,1,0.39%,7,2.70%,,1,0.39%,5,1.93%,,0,0.00%,0,0.00%,1,0.39%,120,46.33%,0,0.00%,16,6.18%,0,0.00%,0,0.00%,38,14.67%,0,0.00%,1,0.39%,5,1.93%,60,23.17%,0,0.00%,0,0.00%,0,0.00%,259,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,320,"2,074",,Total,4,1.27%,1,0.32%,10,3.16%,,2,0.63%,5,1.58%,,0,0.00%,0,0.00%,1,0.32%,160,50.63%,0,0.00%,16,5.06%,0,0.00%,1,0.32%,47,14.87%,1,0.32%,1,0.32%,5,1.58%,62,19.62%,0,0.00%,0,0.00%,0,0.00%,316,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000033,,,,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,54,"1,913",,Polling,0,0.00%,0,0.00%,2,3.70%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,36,66.67%,0,0.00%,3,5.56%,0,0.00%,0,0.00%,5,9.26%,0,0.00%,0,0.00%,0,0.00%,7,12.96%,1,1.85%,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,217,"1,913",,Vote by Mail,1,0.48%,0,0.00%,14,6.76%,,0,0.00%,11,5.31%,,0,0.00%,2,0.97%,0,0.00%,98,47.34%,0,0.00%,12,5.80%,1,0.48%,1,0.48%,20,9.66%,0,0.00%,0,0.00%,8,3.86%,39,18.84%,0,0.00%,0,0.00%,0,0.00%,207,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,271,"1,913",,Total,1,0.38%,0,0.00%,16,6.13%,,0,0.00%,11,4.21%,,0,0.00%,2,0.77%,0,0.00%,134,51.34%,0,0.00%,15,5.75%,1,0.38%,1,0.38%,25,9.58%,0,0.00%,0,0.00%,8,3.07%,46,17.62%,1,0.38%,0,0.00%,0,0.00%,261,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000034,,,,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,60,"1,695",,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,1,1.67%,,0,0.00%,0,0.00%,0,0.00%,38,63.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,8,13.33%,0,0.00%,1,1.67%,0,0.00%,12,20.00%,0,0.00%,0,0.00%,0,0.00%,60,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,225,"1,695",,Vote by Mail,4,1.81%,0,0.00%,8,3.62%,,0,0.00%,8,3.62%,,1,0.45%,0,0.00%,1,0.45%,99,44.80%,0,0.00%,14,6.33%,0,0.00%,1,0.45%,27,12.22%,0,0.00%,0,0.00%,2,0.90%,56,25.34%,0,0.00%,0,0.00%,0,0.00%,221,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,285,"1,695",,Total,4,1.42%,0,0.00%,8,2.85%,,0,0.00%,9,3.20%,,1,0.36%,0,0.00%,1,0.36%,137,48.75%,0,0.00%,14,4.98%,0,0.00%,1,0.36%,35,12.46%,0,0.00%,1,0.36%,2,0.71%,68,24.20%,0,0.00%,0,0.00%,0,0.00%,281,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000035,,,,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,58,"1,933",,Polling,2,3.45%,0,0.00%,2,3.45%,,0,0.00%,1,1.72%,,0,0.00%,0,0.00%,0,0.00%,30,51.72%,0,0.00%,1,1.72%,0,0.00%,0,0.00%,9,15.52%,0,0.00%,0,0.00%,0,0.00%,13,22.41%,0,0.00%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,261,"1,933",,Vote by Mail,1,0.39%,0,0.00%,12,4.65%,,0,0.00%,11,4.26%,,0,0.00%,0,0.00%,0,0.00%,114,44.19%,0,0.00%,16,6.20%,1,0.39%,0,0.00%,42,16.28%,0,0.00%,0,0.00%,5,1.94%,56,21.71%,0,0.00%,0,0.00%,0,0.00%,258,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,319,"1,933",,Total,3,0.95%,0,0.00%,14,4.43%,,0,0.00%,12,3.80%,,0,0.00%,0,0.00%,0,0.00%,144,45.57%,0,0.00%,17,5.38%,1,0.32%,0,0.00%,51,16.14%,0,0.00%,0,0.00%,5,1.58%,69,21.84%,0,0.00%,0,0.00%,0,0.00%,316,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000036,,,,0000036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,84,"2,134",,Polling,0,0.00%,0,0.00%,6,7.14%,,0,0.00%,1,1.19%,,0,0.00%,0,0.00%,0,0.00%,48,57.14%,0,0.00%,2,2.38%,0,0.00%,0,0.00%,10,11.90%,0,0.00%,0,0.00%,0,0.00%,17,20.24%,0,0.00%,0,0.00%,0,0.00%,84,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,331,"2,134",,Vote by Mail,1,0.31%,0,0.00%,14,4.29%,,0,0.00%,3,0.92%,,1,0.31%,0,0.00%,3,0.92%,143,43.87%,0,0.00%,43,13.19%,0,0.00%,0,0.00%,57,17.48%,0,0.00%,1,0.31%,9,2.76%,48,14.72%,1,0.31%,2,0.61%,0,0.00%,326,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,415,"2,134",,Total,1,0.24%,0,0.00%,20,4.88%,,0,0.00%,4,0.98%,,1,0.24%,0,0.00%,3,0.73%,191,46.59%,0,0.00%,45,10.98%,0,0.00%,0,0.00%,67,16.34%,0,0.00%,1,0.24%,9,2.20%,65,15.85%,1,0.24%,2,0.49%,0,0.00%,410,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000037,,,,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,52,"1,339",,Polling,0,0.00%,0,0.00%,1,1.96%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,1.96%,29,56.86%,1,1.96%,1,1.96%,0,0.00%,1,1.96%,5,9.80%,0,0.00%,0,0.00%,0,0.00%,11,21.57%,1,1.96%,0,0.00%,0,0.00%,51,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,239,"1,339",,Vote by Mail,1,0.43%,0,0.00%,5,2.13%,,0,0.00%,8,3.40%,,0,0.00%,0,0.00%,3,1.28%,78,33.19%,1,0.43%,19,8.09%,0,0.00%,1,0.43%,40,17.02%,0,0.00%,0,0.00%,9,3.83%,69,29.36%,0,0.00%,1,0.43%,0,0.00%,235,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Total,291,"1,339",,Total,1,0.35%,0,0.00%,6,2.10%,,0,0.00%,8,2.80%,,0,0.00%,0,0.00%,4,1.40%,107,37.41%,2,0.70%,20,6.99%,0,0.00%,2,0.70%,45,15.73%,0,0.00%,0,0.00%,9,3.15%,80,27.97%,1,0.35%,1,0.35%,0,0.00%,286,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
0000038,,,,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling,2,5,,Polling,0,0.00%,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,50.00%,0,0.00%,0,0.00%,0,0.00%,2,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,0,5,,Vote by Mail,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
