Electionwide,,,,Electionwide,"JULIÁN CASTRO (DEM) ",,"MICHAEL A. ELLINGER (DEM) ",,"ELIZABETH WARREN (DEM) ",,,"MARIANNE WILLIAMSON (DEM) ",,"ANDREW YANG (DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III (DEM) ",,"JOHN K. DELANEY (DEM) ",,"AMY KLOBUCHAR (DEM) ",,"BERNIE SANDERS (DEM) ",,"JOE SESTAK (DEM) ",,"TOM STEYER (DEM) ",,"DEVAL PATRICK (DEM) ",,"MICHAEL BENNET (DEM) ",,"MICHAEL R. BLOOMBERG (DEM) ",,"MOSIE BOYD (DEM) ",,"CORY BOOKER (DEM) ",,"PETE BUTTIGIEG (DEM) ",,"JOSEPH R. BIDEN (DEM) ",,"TULSI GABBARD (DEM) ",,"MARK STEWART GREENSTEIN (DEM) ",,,,Total Votes,,,,,,,,,,,,,,
Total,0,0,,Total,0,0.00%,0,0.00%,182,28.57%,,0,0.00%,2,0.31%,,0,0.00%,1,0.16%,13,2.04%,168,26.37%,0,0.00%,4,0.63%,0,0.00%,0,0.00%,67,10.52%,0,0.00%,0,0.00%,29,4.55%,171,26.84%,0,0.00%,0,0.00%,0,0.00%,637,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7847,,,,Pct 7847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,129,32.25%,,1,0.25%,2,0.50%,,0,0.00%,0,0.00%,8,2.00%,96,24.00%,0,0.00%,3,0.75%,0,0.00%,0,0.00%,45,11.25%,0,0.00%,0,0.00%,26,6.50%,90,22.50%,0,0.00%,0,0.00%,0,0.00%,400,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,70,32.41%,,0,0.00%,2,0.93%,,0,0.00%,0,0.00%,0,0.00%,53,24.54%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,10,4.63%,0,0.00%,0,0.00%,0,0.00%,81,37.50%,0,0.00%,0,0.00%,0,0.00%,216,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,199,32.31%,,1,0.16%,4,0.65%,,0,0.00%,0,0.00%,8,1.30%,149,24.19%,0,0.00%,3,0.49%,0,0.00%,0,0.00%,55,8.93%,0,0.00%,0,0.00%,26,4.22%,171,27.76%,0,0.00%,0,0.00%,0,0.00%,616,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7848,,,,Pct 7848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,1,0.25%,0,0.00%,129,32.41%,,0,0.00%,2,0.50%,,0,0.00%,0,0.00%,6,1.51%,81,20.35%,0,0.00%,3,0.75%,0,0.00%,0,0.00%,57,14.32%,0,0.00%,0,0.00%,37,9.30%,82,20.60%,0,0.00%,0,0.00%,0,0.00%,398,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,62,28.57%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,42,19.35%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21,9.68%,0,0.00%,0,0.00%,1,0.46%,91,41.94%,0,0.00%,0,0.00%,0,0.00%,217,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,1,0.16%,0,0.00%,191,31.06%,,0,0.00%,2,0.33%,,0,0.00%,0,0.00%,6,0.98%,123,20.00%,0,0.00%,3,0.49%,0,0.00%,0,0.00%,78,12.68%,0,0.00%,0,0.00%,38,6.18%,173,28.13%,0,0.00%,0,0.00%,0,0.00%,615,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7849,,,,Pct 7849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,125,31.41%,,0,0.00%,2,0.50%,,1,0.25%,0,0.00%,12,3.02%,104,26.13%,0,0.00%,2,0.50%,0,0.00%,0,0.00%,46,11.56%,0,0.00%,0,0.00%,29,7.29%,76,19.10%,1,0.25%,0,0.00%,0,0.00%,398,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,84,32.81%,,0,0.00%,4,1.56%,,0,0.00%,0,0.00%,0,0.00%,74,28.91%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,20,7.81%,0,0.00%,0,0.00%,1,0.39%,73,28.52%,0,0.00%,0,0.00%,0,0.00%,256,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,209,31.96%,,0,0.00%,6,0.92%,,1,0.15%,0,0.00%,12,1.83%,178,27.22%,0,0.00%,2,0.31%,0,0.00%,0,0.00%,66,10.09%,0,0.00%,0,0.00%,30,4.59%,149,22.78%,1,0.15%,0,0.00%,0,0.00%,654,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7851,,,,Pct 7851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,3,,Vote by Mail,0,0.00%,0,0.00%,41,18.64%,,0,0.00%,4,1.82%,,0,0.00%,0,0.00%,12,5.45%,46,20.91%,0,0.00%,3,1.36%,0,0.00%,0,0.00%,40,18.18%,0,0.00%,0,0.00%,18,8.18%,56,25.45%,0,0.00%,0,0.00%,0,0.00%,220,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,21,20.39%,,0,0.00%,1,0.97%,,0,0.00%,0,0.00%,0,0.00%,26,25.24%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,13.59%,0,0.00%,0,0.00%,0,0.00%,39,37.86%,2,1.94%,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,3,,Total,0,0.00%,0,0.00%,62,19.20%,,0,0.00%,5,1.55%,,0,0.00%,0,0.00%,12,3.72%,72,22.29%,0,0.00%,3,0.93%,0,0.00%,0,0.00%,54,16.72%,0,0.00%,0,0.00%,18,5.57%,95,29.41%,2,0.62%,0,0.00%,0,0.00%,323,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7852,,,,Pct 7852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,55,18.46%,,0,0.00%,1,0.34%,,0,0.00%,0,0.00%,3,1.01%,78,26.17%,0,0.00%,1,0.34%,0,0.00%,0,0.00%,43,14.43%,0,0.00%,0,0.00%,46,15.44%,70,23.49%,1,0.34%,0,0.00%,0,0.00%,298,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,21,17.21%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,30,24.59%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,9,7.38%,0,0.00%,0,0.00%,2,1.64%,57,46.72%,3,2.46%,0,0.00%,0,0.00%,122,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,76,18.10%,,0,0.00%,1,0.24%,,0,0.00%,0,0.00%,3,0.71%,108,25.71%,0,0.00%,1,0.24%,0,0.00%,0,0.00%,52,12.38%,0,0.00%,0,0.00%,48,11.43%,127,30.24%,4,0.95%,0,0.00%,0,0.00%,420,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7853,,,,Pct 7853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,81,22.88%,,1,0.28%,0,0.00%,,0,0.00%,0,0.00%,6,1.69%,82,23.16%,0,0.00%,1,0.28%,0,0.00%,0,0.00%,63,17.80%,0,0.00%,0,0.00%,39,11.02%,78,22.03%,2,0.56%,1,0.28%,0,0.00%,354,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,37,20.67%,,0,0.00%,0,0.00%,,1,0.56%,0,0.00%,0,0.00%,38,21.23%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,8.38%,0,0.00%,0,0.00%,1,0.56%,87,48.60%,0,0.00%,0,0.00%,0,0.00%,179,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,118,22.14%,,1,0.19%,0,0.00%,,1,0.19%,0,0.00%,6,1.13%,120,22.51%,0,0.00%,1,0.19%,0,0.00%,0,0.00%,78,14.63%,0,0.00%,0,0.00%,40,7.50%,165,30.96%,2,0.38%,1,0.19%,0,0.00%,533,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7854,,,,Pct 7854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,1,0.26%,0,0.00%,98,25.13%,,0,0.00%,2,0.51%,,0,0.00%,0,0.00%,12,3.08%,86,22.05%,0,0.00%,0,0.00%,0,0.00%,2,0.51%,41,10.51%,0,0.00%,0,0.00%,36,9.23%,112,28.72%,0,0.00%,0,0.00%,0,0.00%,390,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,49,23.11%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,72,33.96%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,7.55%,0,0.00%,0,0.00%,0,0.00%,74,34.91%,1,0.47%,0,0.00%,0,0.00%,212,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,1,0.17%,0,0.00%,147,24.42%,,0,0.00%,2,0.33%,,0,0.00%,0,0.00%,12,1.99%,158,26.25%,0,0.00%,0,0.00%,0,0.00%,2,0.33%,57,9.47%,0,0.00%,0,0.00%,36,5.98%,186,30.90%,1,0.17%,0,0.00%,0,0.00%,602,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7855,,,,Pct 7855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,143,35.14%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,2.70%,97,23.83%,0,0.00%,1,0.25%,0,0.00%,0,0.00%,39,9.58%,0,0.00%,0,0.00%,30,7.37%,85,20.88%,1,0.25%,0,0.00%,0,0.00%,407,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,86,33.20%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,73,28.19%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,5.41%,0,0.00%,0,0.00%,1,0.39%,84,32.43%,1,0.39%,0,0.00%,0,0.00%,259,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,0,,Total,0,0.00%,0,0.00%,229,34.38%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,1.65%,170,25.53%,0,0.00%,1,0.15%,0,0.00%,0,0.00%,53,7.96%,0,0.00%,0,0.00%,31,4.65%,169,25.38%,2,0.30%,0,0.00%,0,0.00%,666,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7856,,,,Pct 7856,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,106,30.72%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,12,3.48%,94,27.25%,0,0.00%,2,0.58%,0,0.00%,0,0.00%,38,11.01%,0,0.00%,0,0.00%,15,4.35%,78,22.61%,0,0.00%,0,0.00%,0,0.00%,345,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,81,33.61%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,65,26.97%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,17,7.05%,0,0.00%,1,0.41%,0,0.00%,76,31.54%,1,0.41%,0,0.00%,0,0.00%,241,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,0,0.00%,187,31.91%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,12,2.05%,159,27.13%,0,0.00%,2,0.34%,0,0.00%,0,0.00%,55,9.39%,0,0.00%,1,0.17%,15,2.56%,154,26.28%,1,0.17%,0,0.00%,0,0.00%,586,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7857,,,,Pct 7857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,116,30.29%,,1,0.26%,1,0.26%,,0,0.00%,1,0.26%,8,2.09%,130,33.94%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,32,8.36%,0,0.00%,0,0.00%,30,7.83%,62,16.19%,2,0.52%,0,0.00%,0,0.00%,383,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,1,,Election Day,0,0.00%,0,0.00%,65,30.23%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.47%,73,33.95%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,12,5.58%,0,0.00%,0,0.00%,0,0.00%,63,29.30%,1,0.47%,0,0.00%,0,0.00%,215,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,1,,Total,0,0.00%,0,0.00%,181,30.27%,,1,0.17%,1,0.17%,,0,0.00%,1,0.17%,9,1.51%,203,33.95%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,44,7.36%,0,0.00%,0,0.00%,30,5.02%,125,20.90%,3,0.50%,0,0.00%,0,0.00%,598,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7858,,,,Pct 7858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,1,0.31%,0,0.00%,107,33.44%,,0,0.00%,0,0.00%,,1,0.31%,0,0.00%,1,0.31%,125,39.06%,1,0.31%,1,0.31%,0,0.00%,0,0.00%,19,5.94%,0,0.00%,0,0.00%,17,5.31%,46,14.38%,1,0.31%,0,0.00%,0,0.00%,320,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,57,28.79%,,0,0.00%,1,0.51%,,0,0.00%,0,0.00%,0,0.00%,93,46.97%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,16,8.08%,0,0.00%,0,0.00%,2,1.01%,29,14.65%,0,0.00%,0,0.00%,0,0.00%,198,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,1,0.19%,0,0.00%,164,31.66%,,0,0.00%,1,0.19%,,1,0.19%,0,0.00%,1,0.19%,218,42.08%,1,0.19%,1,0.19%,0,0.00%,0,0.00%,35,6.76%,0,0.00%,0,0.00%,19,3.67%,75,14.48%,1,0.19%,0,0.00%,0,0.00%,518,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7859,,,,Pct 7859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,127,30.75%,,0,0.00%,1,0.24%,,0,0.00%,0,0.00%,22,5.33%,76,18.40%,0,0.00%,2,0.48%,0,0.00%,0,0.00%,56,13.56%,0,0.00%,0,0.00%,26,6.30%,103,24.94%,0,0.00%,0,0.00%,0,0.00%,413,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,1,0.47%,60,28.04%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,45,21.03%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,6.54%,0,0.00%,0,0.00%,0,0.00%,92,42.99%,2,0.93%,0,0.00%,0,0.00%,214,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,0,0.00%,1,0.16%,187,29.82%,,0,0.00%,1,0.16%,,0,0.00%,0,0.00%,22,3.51%,121,19.30%,0,0.00%,2,0.32%,0,0.00%,0,0.00%,70,11.16%,0,0.00%,0,0.00%,26,4.15%,195,31.10%,2,0.32%,0,0.00%,0,0.00%,627,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7861,,,,Pct 7861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,0,0.00%,0,0.00%,123,32.11%,,1,0.26%,0,0.00%,,0,0.00%,0,0.00%,15,3.92%,80,20.89%,0,0.00%,2,0.52%,0,0.00%,1,0.26%,43,11.23%,0,0.00%,0,0.00%,28,7.31%,87,22.72%,3,0.78%,0,0.00%,0,0.00%,383,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,68,32.69%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,59,28.37%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,5.29%,0,0.00%,0,0.00%,0,0.00%,70,33.65%,0,0.00%,0,0.00%,0,0.00%,208,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,0,0.00%,0,0.00%,191,32.32%,,1,0.17%,0,0.00%,,0,0.00%,0,0.00%,15,2.54%,139,23.52%,0,0.00%,2,0.34%,0,0.00%,1,0.17%,54,9.14%,0,0.00%,0,0.00%,28,4.74%,157,26.57%,3,0.51%,0,0.00%,0,0.00%,591,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7862,,,,Pct 7862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,121,32.88%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,2.99%,82,22.28%,0,0.00%,0,0.00%,1,0.27%,0,0.00%,48,13.04%,0,0.00%,0,0.00%,27,7.34%,78,21.20%,0,0.00%,0,0.00%,0,0.00%,368,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,1,0.43%,0,0.00%,72,31.17%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,61,26.41%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,15,6.49%,0,0.00%,0,0.00%,2,0.87%,79,34.20%,1,0.43%,0,0.00%,0,0.00%,231,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,0,,Total,1,0.17%,0,0.00%,193,32.22%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,11,1.84%,143,23.87%,0,0.00%,0,0.00%,1,0.17%,0,0.00%,63,10.52%,0,0.00%,0,0.00%,29,4.84%,157,26.21%,1,0.17%,0,0.00%,0,0.00%,599,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7863,,,,Pct 7863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,3,0,,Vote by Mail,0,0.00%,0,0.00%,121,35.28%,,0,0.00%,1,0.29%,,0,0.00%,0,0.00%,3,0.87%,109,31.78%,0,0.00%,1,0.29%,0,0.00%,0,0.00%,28,8.16%,0,0.00%,0,0.00%,16,4.66%,64,18.66%,0,0.00%,0,0.00%,0,0.00%,343,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,1,0,,Election Day,0,0.00%,0,0.00%,82,32.03%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,94,36.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,5.47%,0,0.00%,0,0.00%,0,0.00%,64,25.00%,2,0.78%,0,0.00%,0,0.00%,256,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,4,0,,Total,0,0.00%,0,0.00%,203,33.89%,,0,0.00%,1,0.17%,,0,0.00%,0,0.00%,3,0.50%,203,33.89%,0,0.00%,1,0.17%,0,0.00%,0,0.00%,42,7.01%,0,0.00%,0,0.00%,16,2.67%,128,21.37%,2,0.33%,0,0.00%,0,0.00%,599,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7864,,,,Pct 7864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,0,0,,Vote by Mail,0,0.00%,0,0.00%,108,32.93%,,0,0.00%,2,0.61%,,0,0.00%,0,0.00%,9,2.74%,85,25.91%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,27,8.23%,0,0.00%,0,0.00%,17,5.18%,79,24.09%,1,0.30%,0,0.00%,0,0.00%,328,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,52,25.87%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,76,37.81%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,6.97%,0,0.00%,0,0.00%,1,0.50%,56,27.86%,2,1.00%,0,0.00%,0,0.00%,201,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,0,0,,Total,0,0.00%,0,0.00%,160,30.25%,,0,0.00%,2,0.38%,,0,0.00%,0,0.00%,9,1.70%,161,30.43%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,41,7.75%,0,0.00%,0,0.00%,18,3.40%,135,25.52%,3,0.57%,0,0.00%,0,0.00%,529,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7865,,,,Pct 7865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,1,0,,Vote by Mail,1,0.27%,0,0.00%,97,26.50%,,0,0.00%,5,1.37%,,0,0.00%,0,0.00%,7,1.91%,128,34.97%,0,0.00%,1,0.27%,0,0.00%,0,0.00%,34,9.29%,0,0.00%,0,0.00%,15,4.10%,77,21.04%,1,0.27%,0,0.00%,0,0.00%,366,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,0,0.00%,0,0.00%,55,29.10%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,80,42.33%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,14,7.41%,0,0.00%,0,0.00%,0,0.00%,40,21.16%,0,0.00%,0,0.00%,0,0.00%,189,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,1,0,,Total,1,0.18%,0,0.00%,152,27.39%,,0,0.00%,5,0.90%,,0,0.00%,0,0.00%,7,1.26%,208,37.48%,0,0.00%,1,0.18%,0,0.00%,0,0.00%,48,8.65%,0,0.00%,0,0.00%,15,2.70%,117,21.08%,1,0.18%,0,0.00%,0,0.00%,555,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7866,,,,Pct 7866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,71,19.78%,,0,0.00%,3,0.84%,,1,0.28%,0,0.00%,15,4.18%,89,24.79%,0,0.00%,4,1.11%,0,0.00%,0,0.00%,57,15.88%,0,0.00%,0,0.00%,35,9.75%,80,22.28%,4,1.11%,0,0.00%,0,0.00%,359,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Election Day,0,0,,Election Day,1,0.56%,1,0.56%,42,23.60%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,48,26.97%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,20,11.24%,0,0.00%,0,0.00%,0,0.00%,65,36.52%,1,0.56%,0,0.00%,0,0.00%,178,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Total,2,0,,Total,1,0.19%,1,0.19%,113,21.04%,,0,0.00%,3,0.56%,,1,0.19%,0,0.00%,15,2.79%,137,25.51%,0,0.00%,4,0.74%,0,0.00%,0,0.00%,77,14.34%,0,0.00%,0,0.00%,35,6.52%,145,27.00%,5,0.93%,0,0.00%,0,0.00%,537,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pct 7867,,,,Pct 7867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vote by Mail,2,0,,Vote by Mail,0,0.00%,0,0.00%,111,26.43%,,0,0.00%,5,1.19%,,0,0.00%,0,0.00%,22,5.24%,104,24.76%,0,0.00%,2,0.48%,0,0.00%,0,0.00%,41,9.76%,0,0.00%,0,0.00%,31,7.38%,100,23.81%,4,0.95%,0,0.00%,0,0.00%,420,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
