Santa Cruz,,,,,,,,,Precinct Canvass,,,,
2020 Santa Cruz Presidential Primary,,,,,,,,,"March 3, 2020",,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1 US Representative 20th Congressional District,,,,,,,,,,,
,,,,,,,1,1,,1,1,,
,,Registered Voters,Voters Cast,Turnout (%),,,DEM - ADAM BOLAÑOS SCOW,DEM - JIMMY PANETTA,,REP - JEFF GORMAN,Write In,,
31490,Total,1025,763,74.44 %,,,156,500,,78,1,,
31560,Vote by Mail,893,382,42.78 %,,,98,236,,32,2,,
31560,Polling Place,893,243,27.21 %,,,61,154,,11,,,
31560,Total,893,625,69.99 %,,,159,390,,43,2,,
31580,Vote by Mail,796,335,42.09 %,,,87,182,,47,1,,
31580,Polling Place,796,230,28.89 %,,,67,137,,16,,,
31580,Total,796,565,70.98 %,,,154,319,,63,1,,
31600,Vote by Mail,822,211,25.67 %,,,137,50,,8,,,
31600,Polling Place,822,404,49.15 %,,,280,77,,11,1,,
31600,Total,822,615,74.82 %,,,417,127,,19,1,,
31610,Vote by Mail,623,142,22.79 %,,,86,35,,1,3,,
31610,Polling Place,623,256,41.09 %,,,163,58,,6,,,
31610,Total,623,398,63.88 %,,,249,93,,7,3,,
31630,Vote by Mail,417,80,19.18 %,,,49,23,,1,,,
31630,Polling Place,417,211,50.60 %,,,139,41,,6,1,,
31630,Total,417,291,69.78 %,,,188,64,,7,1,,
31650,Vote by Mail,765,199,26.01 %,,,139,44,,5,1,,
31650,Polling Place,765,327,42.75 %,,,232,58,,5,1,,
31650,Total,765,526,68.76 %,,,371,102,,10,2,,
31690,Vote by Mail,435,113,25.98 %,,,61,46,,3,,,
31690,Polling Place,435,195,44.83 %,,,113,57,,6,,,
31690,Total,435,308,70.80 %,,,174,103,,9,,,
31710,Vote by Mail,1222,549,44.93 %,,,111,363,,60,1,,
31710,Polling Place,1222,356,29.13 %,,,73,233,,36,2,,
31710,Total,1222,905,74.06 %,,,184,596,,96,3,,
40010,Vote by Mail,2,0,0.00 %,,,,,,,,,
40010,Polling Place,2,0,0.00 %,,,,,,,,,
40010,Total,2,0,0.00 %,,,,,,,,,
40071,Vote by Mail,1071,343,32.03 %,,,31,239,,69,,,
40071,Polling Place,1071,188,17.55 %,,,22,129,,33,,,
40071,Total,1071,531,49.58 %,,,53,368,,102,,,
40161,Vote by Mail,1881,549,29.19 %,,,72,386,,83,,,
40161,Polling Place,1881,234,12.44 %,,,37,163,,31,,,
40161,Total,1881,783,41.63 %,,,109,549,,114,,,
40162,Vote by Mail,745,233,31.28 %,,,36,122,,70,,,
40162,Polling Place,745,126,16.91 %,,,15,76,,33,,,
40162,Total,745,359,48.19 %,,,51,198,,103,,,
40170,Vote by Mail,117,52,44.44 %,,,4,36,,11,,,
40170,Polling Place,117,0,0.00 %,,,,,,,,,
40170,Total,117,52,44.44 %,,,4,36,,11,,,
40230,Vote by Mail,78,21,26.92 %,,,1,17,,3,,,
40230,Polling Place,78,0,0.00 %,,,,,,,,,
40230,Total,78,21,26.92 %,,,1,17,,3,,,
40270,Vote by Mail,676,295,43.64 %,,,24,165,,101,,,
40270,Polling Place,676,119,17.60 %,,,9,76,,32,,,
40270,Total,676,414,61.24 %,,,33,241,,133,,,
40310,Vote by Mail,0,0,,,,,,,,,,
40310,Polling Place,0,0,,,,,,,,,,
40310,Total,0,0,,,,,,,,,,
43100,Vote by Mail,2034,586,28.81 %,,,106,406,,63,,,
43100,Polling Place,2034,179,8.80 %,,,30,130,,17,,,
43100,Total,2034,765,37.61 %,,,136,536,,80,,,
43200,Vote by Mail,2191,615,28.07 %,,,97,456,,51,3,,
43200,Polling Place,2191,215,9.81 %,,,41,150,,21,1,,
43200,Total,2191,830,37.88 %,,,138,606,,72,4,,
43410,Vote by Mail,1765,511,28.95 %,,,75,361,,72,1,,
43410,Polling Place,1765,203,11.50 %,,,31,147,,24,1,,
43410,Total,1765,714,40.45 %,,,106,508,,96,2,,
43441,Vote by Mail,1041,342,32.85 %,,,42,241,,52,,,
43441,Polling Place,1041,182,17.48 %,,,24,131,,22,,,
43441,Total,1041,524,50.34 %,,,66,372,,74,,,
43501,Vote by Mail,1292,398,30.80 %,,,68,287,,39,,,
43501,Polling Place,1292,180,13.93 %,,,45,118,,14,1,,
43501,Total,1292,578,44.74 %,,,113,405,,53,1,,
43540,Vote by Mail,1226,307,25.04 %,,,47,212,,40,3,,
43540,Polling Place,1226,152,12.40 %,,,24,111,,14,,,
43540,Total,1226,459,37.44 %,,,71,323,,54,3,,
43610,Vote by Mail,2061,601,29.16 %,,,65,452,,78,,,
43610,Polling Place,2061,236,11.45 %,,,26,178,,27,1,,
43610,Total,2061,837,40.61 %,,,91,630,,105,1,,
43621,Vote by Mail,1043,395,37.87 %,,,34,297,,61,1,,
43621,Polling Place,1043,125,11.98 %,,,9,90,,24,,,
43621,Total,1043,520,49.86 %,,,43,387,,85,1,,
43710,Vote by Mail,1578,515,32.64 %,,,69,354,,86,,,
43710,Polling Place,1578,198,12.55 %,,,31,147,,18,,,
43710,Total,1578,713,45.18 %,,,100,501,,104,,,
43731,Vote by Mail,1276,486,38.09 %,,,43,354,,83,,,
43731,Polling Place,1276,163,12.77 %,,,21,112,,26,1,,
43731,Total,1276,649,50.86 %,,,64,466,,109,1,,
43741,Vote by Mail,897,502,55.96 %,,,25,345,,127,,,
43741,Polling Place,897,134,14.94 %,,,10,98,,25,,,
43741,Total,897,636,70.90 %,,,35,443,,152,,,
50480,Vote by Mail,848,491,57.90 %,,,28,316,,136,2,,
50480,Polling Place,848,104,12.26 %,,,6,75,,21,,,
50480,Total,848,595,70.17 %,,,34,391,,157,2,,
50521,Vote by Mail,733,378,51.57 %,,,63,229,,75,,,
50521,Polling Place,733,125,17.05 %,,,31,79,,13,,,
50521,Total,733,503,68.62 %,,,94,308,,88,,,
51010,Vote by Mail,1533,496,32.35 %,,,150,286,,38,1,,
51010,Polling Place,1533,296,19.31 %,,,111,145,,21,1,,
51010,Total,1533,792,51.66 %,,,261,431,,59,2,,
51080,Vote by Mail,1632,730,44.73 %,,,229,415,,57,1,,
51080,Polling Place,1632,368,22.55 %,,,130,206,,17,,,
51080,Total,1632,1098,67.28 %,,,359,621,,74,1,,
51090,Vote by Mail,1708,739,43.27 %,,,179,478,,57,,,
51090,Polling Place,1708,437,25.59 %,,,112,266,,36,,,
51090,Total,1708,1176,68.85 %,,,291,744,,93,,,
51620,Vote by Mail,221,178,80.54 %,,,54,116,,4,,,
51620,Polling Place,221,8,3.62 %,,,3,5,,,,,
51620,Total,221,186,84.16 %,,,57,121,,4,,,
,,,,,,,,,,,,,
Total - Vote by Mail,,127148,54288,42.70 %,,,9431,35120,,8109,56,,
Total - Polling Place,,127148,25592,20.13 %,,,6090,15447,,2872,53,,
Contest Total,,127148,79880,62.82 %,,,15521,50567,,10981,109,,
