Precinct,,,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,,"MARIANNE WILLIAMSON
(DEM) ",,"ANDREW YANG
(DEM) ",,,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,,
Total,72,646,,0,0.00%,0,0.00%,10,14.49%,,0,0.00%,1,1.45%,,0,0.00%,0,0.00%,5,7.25%,16,23.19%,0,0.00%,6,8.70%,0,0.00%,0,0.00%,9,13.04%,0,0.00%,1,1.45%,3,4.35%,16,23.19%,2,2.90%,0,0.00%,69,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,57,981,,0,0.00%,1,1.75%,2,3.51%,,1,1.75%,0,0.00%,,0,0.00%,0,0.00%,1,1.75%,25,43.86%,0,0.00%,3,5.26%,0,0.00%,0,0.00%,7,12.28%,0,0.00%,0,0.00%,0,0.00%,16,28.07%,1,1.75%,0,0.00%,57,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,139,981,,1,0.74%,0,0.00%,1,0.74%,,0,0.00%,1,0.74%,,1,0.74%,0,0.00%,0,0.00%,72,52.94%,1,0.74%,7,5.15%,0,0.00%,0,0.00%,13,9.56%,0,0.00%,0,0.00%,10,7.35%,28,20.59%,1,0.74%,0,0.00%,136,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,981,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,196,981,,1,0.52%,1,0.52%,3,1.55%,,1,0.52%,1,0.52%,,1,0.52%,0,0.00%,1,0.52%,97,50.26%,1,0.52%,10,5.18%,0,0.00%,0,0.00%,20,10.36%,0,0.00%,0,0.00%,10,5.18%,44,22.80%,2,1.04%,0,0.00%,193,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,50,665,,0,0.00%,0,0.00%,2,4.17%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,19,39.58%,0,0.00%,1,2.08%,0,0.00%,0,0.00%,3,6.25%,0,0.00%,0,0.00%,0,0.00%,23,47.92%,0,0.00%,0,0.00%,48,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,102,665,,1,1.00%,0,0.00%,8,8.00%,,0,0.00%,1,1.00%,,0,0.00%,0,0.00%,1,1.00%,47,47.00%,0,0.00%,8,8.00%,0,0.00%,0,0.00%,5,5.00%,0,0.00%,4,4.00%,2,2.00%,23,23.00%,0,0.00%,0,0.00%,100,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,665,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,152,665,,1,0.68%,0,0.00%,10,6.76%,,0,0.00%,1,0.68%,,0,0.00%,0,0.00%,1,0.68%,66,44.59%,0,0.00%,9,6.08%,0,0.00%,0,0.00%,8,5.41%,0,0.00%,4,2.70%,2,1.35%,46,31.08%,0,0.00%,0,0.00%,148,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
3070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,43,786,,0,0.00%,1,2.38%,2,4.76%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,2.38%,20,47.62%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,6,14.29%,0,0.00%,0,0.00%,1,2.38%,11,26.19%,0,0.00%,0,0.00%,42,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,92,786,,2,2.17%,0,0.00%,3,3.26%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,1.09%,49,53.26%,0,0.00%,4,4.35%,0,0.00%,0,0.00%,14,15.22%,0,0.00%,2,2.17%,2,2.17%,14,15.22%,1,1.09%,0,0.00%,92,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,786,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,135,786,,2,1.49%,1,0.75%,5,3.73%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,2,1.49%,69,51.49%,0,0.00%,4,2.99%,0,0.00%,0,0.00%,20,14.93%,0,0.00%,2,1.49%,3,2.24%,25,18.66%,1,0.75%,0,0.00%,134,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,137,"1,153",,0,0.00%,0,0.00%,17,12.50%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,44,32.35%,0,0.00%,3,2.21%,0,0.00%,0,0.00%,8,5.88%,0,0.00%,0,0.00%,0,0.00%,64,47.06%,0,0.00%,0,0.00%,136,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,315,"1,153",,0,0.00%,0,0.00%,40,13.03%,,1,0.33%,0,0.00%,,0,0.00%,0,0.00%,12,3.91%,82,26.71%,1,0.33%,7,2.28%,0,0.00%,0,0.00%,41,13.36%,0,0.00%,0,0.00%,27,8.79%,95,30.94%,1,0.33%,0,0.00%,307,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,153",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,452,"1,153",,0,0.00%,0,0.00%,57,12.87%,,1,0.23%,0,0.00%,,0,0.00%,0,0.00%,12,2.71%,126,28.44%,1,0.23%,10,2.26%,0,0.00%,0,0.00%,49,11.06%,0,0.00%,0,0.00%,27,6.09%,159,35.89%,1,0.23%,0,0.00%,443,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,174,"1,615",,0,0.00%,0,0.00%,14,8.09%,,0,0.00%,2,1.16%,,0,0.00%,1,0.58%,0,0.00%,82,47.40%,0,0.00%,1,0.58%,0,0.00%,0,0.00%,11,6.36%,0,0.00%,0,0.00%,1,0.58%,57,32.95%,4,2.31%,0,0.00%,173,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,325,"1,615",,0,0.00%,0,0.00%,52,16.15%,,0,0.00%,2,0.62%,,0,0.00%,0,0.00%,13,4.04%,129,40.06%,0,0.00%,8,2.48%,0,0.00%,0,0.00%,32,9.94%,0,0.00%,1,0.31%,17,5.28%,67,20.81%,1,0.31%,0,0.00%,322,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,615",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,499,"1,615",,0,0.00%,0,0.00%,66,13.33%,,0,0.00%,4,0.81%,,0,0.00%,1,0.20%,13,2.63%,211,42.63%,0,0.00%,9,1.82%,0,0.00%,0,0.00%,43,8.69%,0,0.00%,1,0.20%,18,3.64%,124,25.05%,5,1.01%,0,0.00%,495,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,109,972,,0,0.00%,0,0.00%,7,6.42%,,0,0.00%,2,1.83%,,2,1.83%,0,0.00%,0,0.00%,68,62.39%,0,0.00%,3,2.75%,0,0.00%,1,0.92%,6,5.50%,0,0.00%,0,0.00%,0,0.00%,20,18.35%,0,0.00%,0,0.00%,109,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,149,972,,0,0.00%,0,0.00%,30,20.27%,,0,0.00%,1,0.68%,,0,0.00%,0,0.00%,4,2.70%,62,41.89%,1,0.68%,1,0.68%,0,0.00%,0,0.00%,14,9.46%,0,0.00%,0,0.00%,12,8.11%,22,14.86%,1,0.68%,0,0.00%,148,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,972,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,258,972,,0,0.00%,0,0.00%,37,14.40%,,0,0.00%,3,1.17%,,2,0.78%,0,0.00%,4,1.56%,130,50.58%,1,0.39%,4,1.56%,0,0.00%,1,0.39%,20,7.78%,0,0.00%,0,0.00%,12,4.67%,42,16.34%,1,0.39%,0,0.00%,257,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,97,"1,248",,0,0.00%,0,0.00%,9,9.38%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,1.04%,42,43.75%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1.04%,0,0.00%,0,0.00%,0,0.00%,41,42.71%,2,2.08%,0,0.00%,96,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,344,"1,248",,0,0.00%,0,0.00%,41,12.02%,,0,0.00%,2,0.59%,,0,0.00%,0,0.00%,11,3.23%,107,31.38%,2,0.59%,13,3.81%,0,0.00%,1,0.29%,43,12.61%,0,0.00%,0,0.00%,28,8.21%,92,26.98%,1,0.29%,0,0.00%,341,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,248",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,441,"1,248",,0,0.00%,0,0.00%,50,11.44%,,0,0.00%,2,0.46%,,0,0.00%,0,0.00%,12,2.75%,149,34.10%,2,0.46%,13,2.97%,0,0.00%,1,0.23%,44,10.07%,0,0.00%,0,0.00%,28,6.41%,133,30.43%,3,0.69%,0,0.00%,437,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,184,"1,678",,0,0.00%,0,0.00%,17,9.39%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,89,49.17%,0,0.00%,3,1.66%,0,0.00%,0,0.00%,20,11.05%,0,0.00%,0,0.00%,1,0.55%,48,26.52%,3,1.66%,0,0.00%,181,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,414,"1,678",,1,0.25%,0,0.00%,40,9.80%,,1,0.25%,0,0.00%,,0,0.00%,0,0.00%,11,2.70%,171,41.91%,0,0.00%,15,3.68%,0,0.00%,3,0.74%,43,10.54%,0,0.00%,2,0.49%,15,3.68%,105,25.74%,1,0.25%,0,0.00%,408,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,678",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,598,"1,678",,1,0.17%,0,0.00%,57,9.68%,,1,0.17%,0,0.00%,,0,0.00%,0,0.00%,11,1.87%,260,44.14%,0,0.00%,18,3.06%,0,0.00%,3,0.51%,63,10.70%,0,0.00%,2,0.34%,16,2.72%,153,25.98%,4,0.68%,0,0.00%,589,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,120,"1,307",,1,0.85%,0,0.00%,14,11.97%,,0,0.00%,1,0.85%,,0,0.00%,0,0.00%,0,0.00%,57,48.72%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,2.56%,0,0.00%,0,0.00%,0,0.00%,38,32.48%,3,2.56%,0,0.00%,117,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,383,"1,307",,1,0.26%,0,0.00%,46,12.17%,,0,0.00%,2,0.53%,,1,0.26%,0,0.00%,12,3.17%,96,25.40%,0,0.00%,13,3.44%,0,0.00%,1,0.26%,59,15.61%,1,0.26%,2,0.53%,11,2.91%,132,34.92%,1,0.26%,0,0.00%,378,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,307",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,503,"1,307",,2,0.40%,0,0.00%,60,12.12%,,0,0.00%,3,0.61%,,1,0.20%,0,0.00%,12,2.42%,153,30.91%,0,0.00%,13,2.63%,0,0.00%,1,0.20%,62,12.53%,1,0.20%,2,0.40%,11,2.22%,170,34.34%,4,0.81%,0,0.00%,495,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,108,"1,402",,0,0.00%,0,0.00%,9,8.49%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,58,54.72%,0,0.00%,3,2.83%,0,0.00%,1,0.94%,6,5.66%,0,0.00%,0,0.00%,0,0.00%,28,26.42%,1,0.94%,0,0.00%,106,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,276,"1,402",,0,0.00%,0,0.00%,25,9.23%,,2,0.74%,1,0.37%,,0,0.00%,0,0.00%,4,1.48%,118,43.54%,1,0.37%,12,4.43%,0,0.00%,0,0.00%,34,12.55%,0,0.00%,0,0.00%,13,4.80%,61,22.51%,0,0.00%,0,0.00%,271,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,402",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,384,"1,402",,0,0.00%,0,0.00%,34,9.02%,,2,0.53%,1,0.27%,,0,0.00%,0,0.00%,4,1.06%,176,46.68%,1,0.27%,15,3.98%,0,0.00%,1,0.27%,40,10.61%,0,0.00%,0,0.00%,13,3.45%,89,23.61%,1,0.27%,0,0.00%,377,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,157,"1,527",,0,0.00%,0,0.00%,15,9.80%,,0,0.00%,1,0.65%,,0,0.00%,0,0.00%,0,0.00%,76,49.67%,1,0.65%,1,0.65%,0,0.00%,2,1.31%,7,4.58%,0,0.00%,1,0.65%,1,0.65%,48,31.37%,0,0.00%,0,0.00%,153,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,380,"1,527",,1,0.27%,0,0.00%,45,11.97%,,0,0.00%,2,0.53%,,0,0.00%,1,0.27%,7,1.86%,132,35.11%,0,0.00%,13,3.46%,0,0.00%,1,0.27%,63,16.76%,0,0.00%,3,0.80%,9,2.39%,99,26.33%,0,0.00%,0,0.00%,376,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,527",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,537,"1,527",,1,0.19%,0,0.00%,60,11.34%,,0,0.00%,3,0.57%,,0,0.00%,1,0.19%,7,1.32%,208,39.32%,1,0.19%,14,2.65%,0,0.00%,3,0.57%,70,13.23%,0,0.00%,4,0.76%,10,1.89%,147,27.79%,0,0.00%,0,0.00%,529,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,134,"1,487",,0,0.00%,0,0.00%,7,5.30%,,0,0.00%,2,1.52%,,0,0.00%,0,0.00%,0,0.00%,44,33.33%,0,0.00%,0,0.00%,1,0.76%,0,0.00%,11,8.33%,0,0.00%,0,0.00%,0,0.00%,64,48.48%,2,1.52%,1,0.76%,132,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,374,"1,487",,0,0.00%,0,0.00%,30,8.09%,,1,0.27%,3,0.81%,,0,0.00%,0,0.00%,9,2.43%,94,25.34%,1,0.27%,29,7.82%,0,0.00%,1,0.27%,46,12.40%,0,0.00%,1,0.27%,19,5.12%,136,36.66%,1,0.27%,0,0.00%,371,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,487",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,508,"1,487",,0,0.00%,0,0.00%,37,7.36%,,1,0.20%,5,0.99%,,0,0.00%,0,0.00%,9,1.79%,138,27.44%,1,0.20%,29,5.77%,1,0.20%,1,0.20%,57,11.33%,0,0.00%,1,0.20%,19,3.78%,200,39.76%,3,0.60%,1,0.20%,503,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,95,936,,0,0.00%,0,0.00%,9,9.57%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,51,54.26%,0,0.00%,2,2.13%,0,0.00%,0,0.00%,11,11.70%,0,0.00%,0,0.00%,0,0.00%,21,22.34%,0,0.00%,0,0.00%,94,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,194,936,,2,1.06%,0,0.00%,18,9.52%,,0,0.00%,1,0.53%,,0,0.00%,0,0.00%,4,2.12%,69,36.51%,0,0.00%,7,3.70%,1,0.53%,0,0.00%,23,12.17%,0,0.00%,0,0.00%,15,7.94%,48,25.40%,1,0.53%,0,0.00%,189,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,936,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,289,936,,2,0.71%,0,0.00%,27,9.54%,,0,0.00%,1,0.35%,,0,0.00%,0,0.00%,4,1.41%,120,42.40%,0,0.00%,9,3.18%,1,0.35%,0,0.00%,34,12.01%,0,0.00%,0,0.00%,15,5.30%,69,24.38%,1,0.35%,0,0.00%,283,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,145,"1,412",,0,0.00%,0,0.00%,14,10.07%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,75,53.96%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,13,9.35%,0,0.00%,0,0.00%,1,0.72%,36,25.90%,0,0.00%,0,0.00%,139,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,303,"1,412",,0,0.00%,0,0.00%,42,14.24%,,0,0.00%,3,1.02%,,0,0.00%,0,0.00%,7,2.37%,92,31.19%,0,0.00%,12,4.07%,0,0.00%,0,0.00%,47,15.93%,0,0.00%,0,0.00%,16,5.42%,72,24.41%,4,1.36%,0,0.00%,295,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,412",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,448,"1,412",,0,0.00%,0,0.00%,56,12.90%,,0,0.00%,3,0.69%,,0,0.00%,0,0.00%,7,1.61%,167,38.48%,0,0.00%,12,2.76%,0,0.00%,0,0.00%,60,13.82%,0,0.00%,0,0.00%,17,3.92%,108,24.88%,4,0.92%,0,0.00%,434,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,149,"1,712",,0,0.00%,0,0.00%,17,11.72%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,56,38.62%,0,0.00%,2,1.38%,0,0.00%,0,0.00%,6,4.14%,0,0.00%,0,0.00%,0,0.00%,63,43.45%,1,0.69%,0,0.00%,145,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,362,"1,712",,1,0.28%,0,0.00%,41,11.52%,,0,0.00%,4,1.12%,,0,0.00%,1,0.28%,6,1.69%,106,29.78%,0,0.00%,17,4.78%,0,0.00%,1,0.28%,46,12.92%,1,0.28%,1,0.28%,15,4.21%,113,31.74%,3,0.84%,0,0.00%,356,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,712",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,511,"1,712",,1,0.20%,0,0.00%,58,11.58%,,0,0.00%,4,0.80%,,0,0.00%,1,0.20%,6,1.20%,162,32.34%,0,0.00%,19,3.79%,0,0.00%,1,0.20%,52,10.38%,1,0.20%,1,0.20%,15,2.99%,176,35.13%,4,0.80%,0,0.00%,501,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,130,"1,255",,0,0.00%,0,0.00%,13,10.24%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,0,0.00%,63,49.61%,0,0.00%,3,2.36%,0,0.00%,1,0.79%,9,7.09%,0,0.00%,0,0.00%,0,0.00%,38,29.92%,0,0.00%,0,0.00%,127,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,336,"1,255",,0,0.00%,0,0.00%,46,14.02%,,1,0.30%,2,0.61%,,0,0.00%,0,0.00%,6,1.83%,132,40.24%,0,0.00%,9,2.74%,0,0.00%,1,0.30%,38,11.59%,0,0.00%,2,0.61%,18,5.49%,73,22.26%,0,0.00%,0,0.00%,328,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,255",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
Total,466,"1,255",,0,0.00%,0,0.00%,59,12.97%,,1,0.22%,2,0.44%,,0,0.00%,0,0.00%,6,1.32%,195,42.86%,0,0.00%,12,2.64%,0,0.00%,2,0.44%,47,10.33%,0,0.00%,2,0.44%,18,3.96%,111,24.40%,0,0.00%,0,0.00%,455,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
4084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Polling Place,121,"1,449",,0,0.00%,0,0.00%,13,10.92%,,0,0.00%,0,0.00%,,0,0.00%,0,0.00%,1,0.84%,55,46.22%,0,0.00%,1,0.84%,0,0.00%,0,0.00%,6,5.04%,0,0.00%,0,0.00%,0,0.00%,43,36.13%,0,0.00%,0,0.00%,119,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Vote by Mail,369,"1,449",,0,0.00%,0,0.00%,41,11.52%,,1,0.28%,2,0.56%,,0,0.00%,0,0.00%,8,2.25%,127,35.67%,0,0.00%,27,7.58%,0,0.00%,0,0.00%,45,12.64%,0,0.00%,0,0.00%,13,3.65%,87,24.44%,5,1.40%,0,0.00%,356,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0
Mail Ballot,0,"1,449",,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,,0
