Page: 2 of 28,,,,,,,,,,,4/3/2020 3:21:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
President of the US DEM (Vote for  1)   ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
County,,County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precinct,,Kern County,,"JULIÁN CASTRO
(DEM) ",,"MICHAEL A. ELLINGER
(DEM) ",,"ELIZABETH WARREN
(DEM) ",,"MARIANNE WILLIAMSON
(DEM) ",,,"ANDREW YANG
(DEM) ",,"ROQUE ""ROCKY"" DE LA FUENTE III
(DEM) ",,,"JOHN K. DELANEY
(DEM) ",,"AMY KLOBUCHAR
(DEM) ",,"BERNIE SANDERS
(DEM) ",,"JOE SESTAK
(DEM) ",,"TOM STEYER
(DEM) ",,"DEVAL PATRICK
(DEM) ",,"MICHAEL BENNET
(DEM) ",,"MICHAEL R. BLOOMBERG
(DEM) ",,"MOSIE BOYD
(DEM) ",,"CORY BOOKER
(DEM) ",,"PETE BUTTIGIEG
(DEM) ",,"JOSEPH R. BIDEN
(DEM) ",,"TULSI GABBARD
(DEM) ",,"MARK STEWART GREENSTEIN
(DEM) ",,Total Votes,,,,,,,,,,,,,,
Total,369,Total,,1,1.27%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,58,73.42%,0,0.00%,2,2.53%,0,0.00%,0,0.00%,6,7.59%,0,0.00%,0,0.00%,1,1.27%,11,13.92%,0,0.00%,0,0.00%,79,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050520,,0050520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,992,Poll Place,,0,0.00%,0,0.00%,16,15.53%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,0.97%,37,35.92%,0,0.00%,1,0.97%,0,0.00%,0,0.00%,8,7.77%,0,0.00%,0,0.00%,1,0.97%,38,36.89%,1,0.97%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,992,Vote by Mail,,1,0.75%,0,0.00%,18,13.53%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,6,4.51%,52,39.10%,0,0.00%,1,0.75%,0,0.00%,0,0.00%,20,15.04%,0,0.00%,0,0.00%,8,6.02%,27,20.30%,0,0.00%,0,0.00%,133,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,992,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,992,Total,,1,0.42%,0,0.00%,34,14.41%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,7,2.97%,89,37.71%,0,0.00%,2,0.85%,0,0.00%,0,0.00%,28,11.86%,0,0.00%,0,0.00%,9,3.81%,65,27.54%,1,0.42%,0,0.00%,236,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050523,,0050523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,521,Poll Place,,0,0.00%,0,0.00%,6,11.54%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,34,65.38%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,1.92%,0,0.00%,0,0.00%,1,1.92%,10,19.23%,0,0.00%,0,0.00%,52,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,521,Vote by Mail,,0,0.00%,0,0.00%,14,14.58%,0,,0.00%,2,2.08%,0,,0.00%,1,1.04%,3,3.13%,24,25.00%,1,1.04%,9,9.38%,0,0.00%,0,0.00%,19,19.79%,0,0.00%,0,0.00%,6,6.25%,17,17.71%,0,0.00%,0,0.00%,96,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,521,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,521,Total,,0,0.00%,0,0.00%,20,13.51%,0,,0.00%,2,1.35%,0,,0.00%,1,0.68%,3,2.03%,58,39.19%,1,0.68%,9,6.08%,0,0.00%,0,0.00%,20,13.51%,0,0.00%,0,0.00%,7,4.73%,27,18.24%,0,0.00%,0,0.00%,148,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050524,,0050524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,540",Poll Place,,0,0.00%,0,0.00%,2,2.94%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,31,45.59%,0,0.00%,1,1.47%,0,0.00%,0,0.00%,11,16.18%,0,0.00%,0,0.00%,0,0.00%,23,33.82%,0,0.00%,0,0.00%,68,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,540",Vote by Mail,,0,0.00%,0,0.00%,9,4.11%,0,,0.00%,2,0.91%,1,,0.46%,1,0.46%,0,0.00%,72,32.88%,1,0.46%,22,10.05%,1,0.46%,1,0.46%,27,12.33%,0,0.00%,3,1.37%,3,1.37%,75,34.25%,0,0.00%,1,0.46%,219,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,540",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,540",Total,,0,0.00%,0,0.00%,11,3.83%,0,,0.00%,2,0.70%,1,,0.35%,1,0.35%,0,0.00%,103,35.89%,1,0.35%,23,8.01%,1,0.35%,1,0.35%,38,13.24%,0,0.00%,3,1.05%,3,1.05%,98,34.15%,0,0.00%,1,0.35%,287,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050532,,0050532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,314",Poll Place,,0,0.00%,0,0.00%,2,4.35%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,13,28.26%,0,0.00%,0,0.00%,0,0.00%,1,2.17%,5,10.87%,0,0.00%,0,0.00%,0,0.00%,25,54.35%,0,0.00%,0,0.00%,46,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,314",Vote by Mail,,0,0.00%,0,0.00%,10,6.71%,1,,0.67%,0,0.00%,0,,0.00%,1,0.67%,2,1.34%,52,34.90%,0,0.00%,7,4.70%,0,0.00%,1,0.67%,14,9.40%,0,0.00%,0,0.00%,2,1.34%,57,38.26%,2,1.34%,0,0.00%,149,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,314",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,314",Total,,0,0.00%,0,0.00%,12,6.15%,1,,0.51%,0,0.00%,0,,0.00%,1,0.51%,2,1.03%,65,33.33%,0,0.00%,7,3.59%,0,0.00%,2,1.03%,19,9.74%,0,0.00%,0,0.00%,2,1.03%,82,42.05%,2,1.03%,0,0.00%,195,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050536,,0050536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,447,Poll Place,,1,5.00%,0,0.00%,1,5.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,12,60.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,25.00%,1,5.00%,0,0.00%,20,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,447,Vote by Mail,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,1,2.17%,0,,0.00%,0,0.00%,1,2.17%,25,54.35%,0,0.00%,2,4.35%,0,0.00%,1,2.17%,8,17.39%,0,0.00%,0,0.00%,1,2.17%,4,8.70%,2,4.35%,1,2.17%,46,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,447,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,447,Total,,1,1.52%,0,0.00%,1,1.52%,0,,0.00%,1,1.52%,0,,0.00%,0,0.00%,1,1.52%,37,56.06%,0,0.00%,2,3.03%,0,0.00%,1,1.52%,8,12.12%,0,0.00%,0,0.00%,1,1.52%,9,13.64%,3,4.55%,1,1.52%,66,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050538,,0050538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,678,Poll Place,,0,0.00%,0,0.00%,5,8.62%,0,,0.00%,1,1.72%,0,,0.00%,2,3.45%,0,0.00%,38,65.52%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,5.17%,0,0.00%,0,0.00%,0,0.00%,9,15.52%,0,0.00%,0,0.00%,58,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,678,Vote by Mail,,0,0.00%,0,0.00%,3,3.53%,0,,0.00%,1,1.18%,0,,0.00%,0,0.00%,0,0.00%,56,65.88%,0,0.00%,3,3.53%,1,1.18%,2,2.35%,5,5.88%,0,0.00%,0,0.00%,1,1.18%,13,15.29%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,678,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,678,Total,,0,0.00%,0,0.00%,8,5.59%,0,,0.00%,2,1.40%,0,,0.00%,2,1.40%,0,0.00%,94,65.73%,0,0.00%,3,2.10%,1,0.70%,2,1.40%,8,5.59%,0,0.00%,0,0.00%,1,0.70%,22,15.38%,0,0.00%,0,0.00%,143,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050541,,0050541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,043",Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,32,64.00%,0,0.00%,2,4.00%,0,0.00%,0,0.00%,4,8.00%,0,0.00%,0,0.00%,1,2.00%,11,22.00%,0,0.00%,0,0.00%,50,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,043",Vote by Mail,,0,0.00%,0,0.00%,5,3.55%,1,,0.71%,0,0.00%,1,,0.71%,0,0.00%,2,1.42%,50,35.46%,0,0.00%,7,4.96%,1,0.71%,0,0.00%,33,23.40%,0,0.00%,0,0.00%,0,0.00%,40,28.37%,1,0.71%,0,0.00%,141,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,043",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,043",Total,,0,0.00%,0,0.00%,5,2.62%,1,,0.52%,0,0.00%,1,,0.52%,0,0.00%,2,1.05%,82,42.93%,0,0.00%,9,4.71%,1,0.52%,0,0.00%,37,19.37%,0,0.00%,0,0.00%,1,0.52%,51,26.70%,1,0.52%,0,0.00%,191,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050543,,0050543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,814,Poll Place,,0,0.00%,0,0.00%,2,4.76%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,22,52.38%,0,0.00%,1,2.38%,0,0.00%,0,0.00%,2,4.76%,0,0.00%,0,0.00%,0,0.00%,15,35.71%,0,0.00%,0,0.00%,42,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,814,Vote by Mail,,1,1.10%,0,0.00%,7,7.69%,0,,0.00%,1,1.10%,0,,0.00%,0,0.00%,0,0.00%,46,50.55%,0,0.00%,4,4.40%,1,1.10%,0,0.00%,15,16.48%,0,0.00%,0,0.00%,0,0.00%,12,13.19%,3,3.30%,1,1.10%,91,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,814,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,814,Total,,1,0.75%,0,0.00%,9,6.77%,0,,0.00%,1,0.75%,0,,0.00%,0,0.00%,0,0.00%,68,51.13%,0,0.00%,5,3.76%,1,0.75%,0,0.00%,17,12.78%,0,0.00%,0,0.00%,0,0.00%,27,20.30%,3,2.26%,1,0.75%,133,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050545,,0050545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,304",Poll Place,,0,0.00%,0,0.00%,4,5.19%,0,,0.00%,0,0.00%,0,,0.00%,1,1.30%,0,0.00%,49,63.64%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,9.09%,0,0.00%,0,0.00%,1,1.30%,14,18.18%,1,1.30%,0,0.00%,77,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,304",Vote by Mail,,4,2.38%,0,0.00%,11,6.55%,0,,0.00%,2,1.19%,0,,0.00%,0,0.00%,0,0.00%,105,62.50%,1,0.60%,1,0.60%,1,0.60%,3,1.79%,15,8.93%,0,0.00%,0,0.00%,3,1.79%,22,13.10%,0,0.00%,0,0.00%,168,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,304",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,304",Total,,4,1.63%,0,0.00%,15,6.12%,0,,0.00%,2,0.82%,0,,0.00%,1,0.41%,0,0.00%,154,62.86%,1,0.41%,1,0.41%,1,0.41%,3,1.22%,22,8.98%,0,0.00%,0,0.00%,4,1.63%,36,14.69%,1,0.41%,0,0.00%,245,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050548,,0050548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,194",Poll Place,,1,1.69%,0,0.00%,4,6.78%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,21,35.59%,0,0.00%,0,0.00%,0,0.00%,2,3.39%,5,8.47%,0,0.00%,0,0.00%,0,0.00%,26,44.07%,0,0.00%,0,0.00%,59,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,194",Vote by Mail,,0,0.00%,0,0.00%,8,7.34%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,2.75%,47,43.12%,0,0.00%,8,7.34%,0,0.00%,0,0.00%,15,13.76%,0,0.00%,1,0.92%,2,1.83%,25,22.94%,0,0.00%,0,0.00%,109,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,194",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,194",Total,,1,0.60%,0,0.00%,12,7.14%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,3,1.79%,68,40.48%,0,0.00%,8,4.76%,0,0.00%,2,1.19%,20,11.90%,0,0.00%,1,0.60%,2,1.19%,51,30.36%,0,0.00%,0,0.00%,168,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050552,,0050552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,843,Poll Place,,0,0.00%,0,0.00%,4,7.41%,1,,1.85%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,35,64.81%,0,0.00%,1,1.85%,1,1.85%,1,1.85%,2,3.70%,1,1.85%,0,0.00%,0,0.00%,8,14.81%,0,0.00%,0,0.00%,54,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,843,Vote by Mail,,4,3.17%,0,0.00%,8,6.35%,0,,0.00%,3,2.38%,0,,0.00%,1,0.79%,2,1.59%,67,53.17%,0,0.00%,7,5.56%,0,0.00%,2,1.59%,13,10.32%,0,0.00%,1,0.79%,1,0.79%,16,12.70%,0,0.00%,1,0.79%,126,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,843,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,843,Total,,4,2.22%,0,0.00%,12,6.67%,1,,0.56%,3,1.67%,0,,0.00%,1,0.56%,2,1.11%,102,56.67%,0,0.00%,8,4.44%,1,0.56%,3,1.67%,15,8.33%,1,0.56%,1,0.56%,1,0.56%,24,13.33%,0,0.00%,1,0.56%,180,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050560,,0050560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,878,Poll Place,,0,0.00%,0,0.00%,0,0.00%,0,,0.00%,1,3.45%,0,,0.00%,0,0.00%,0,0.00%,14,48.28%,0,0.00%,1,3.45%,0,0.00%,1,3.45%,3,10.34%,1,3.45%,0,0.00%,0,0.00%,8,27.59%,0,0.00%,0,0.00%,29,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,878,Vote by Mail,,2,2.35%,0,0.00%,1,1.18%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,1.18%,29,34.12%,0,0.00%,6,7.06%,0,0.00%,0,0.00%,18,21.18%,0,0.00%,0,0.00%,0,0.00%,28,32.94%,0,0.00%,0,0.00%,85,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,878,Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,878,Total,,2,1.75%,0,0.00%,1,0.88%,0,,0.00%,1,0.88%,0,,0.00%,0,0.00%,1,0.88%,43,37.72%,0,0.00%,7,6.14%,0,0.00%,1,0.88%,21,18.42%,1,0.88%,0,0.00%,0,0.00%,36,31.58%,0,0.00%,0,0.00%,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050576,,0050576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,432",Poll Place,,0,0.00%,0,0.00%,4,7.27%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,30,54.55%,0,0.00%,1,1.82%,1,1.82%,0,0.00%,4,7.27%,0,0.00%,0,0.00%,1,1.82%,14,25.45%,0,0.00%,0,0.00%,55,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,432",Vote by Mail,,2,1.10%,0,0.00%,18,9.89%,0,,0.00%,2,1.10%,0,,0.00%,0,0.00%,2,1.10%,81,44.51%,0,0.00%,12,6.59%,0,0.00%,0,0.00%,21,11.54%,0,0.00%,0,0.00%,4,2.20%,39,21.43%,1,0.55%,0,0.00%,182,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,432",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,432",Total,,2,0.84%,0,0.00%,22,9.28%,0,,0.00%,2,0.84%,0,,0.00%,0,0.00%,2,0.84%,111,46.84%,0,0.00%,13,5.49%,1,0.42%,0,0.00%,25,10.55%,0,0.00%,0,0.00%,5,2.11%,53,22.36%,1,0.42%,0,0.00%,237,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050731,,0050731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,082",Poll Place,,0,0.00%,0,0.00%,8,15.38%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,25,48.08%,0,0.00%,1,1.92%,0,0.00%,0,0.00%,6,11.54%,0,0.00%,0,0.00%,0,0.00%,12,23.08%,0,0.00%,0,0.00%,52,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,082",Vote by Mail,,1,0.88%,1,0.88%,6,5.26%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,0.88%,53,46.49%,0,0.00%,7,6.14%,0,0.00%,0,0.00%,8,7.02%,0,0.00%,0,0.00%,5,4.39%,31,27.19%,1,0.88%,0,0.00%,114,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,082",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,082",Total,,1,0.60%,1,0.60%,14,8.43%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,1,0.60%,78,46.99%,0,0.00%,8,4.82%,0,0.00%,0,0.00%,14,8.43%,0,0.00%,0,0.00%,5,3.01%,43,25.90%,1,0.60%,0,0.00%,166,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050741,,0050741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,089",Poll Place,,0,0.00%,0,0.00%,1,1.56%,0,,0.00%,0,0.00%,0,,0.00%,0,0.00%,0,0.00%,37,57.81%,0,0.00%,1,1.56%,0,0.00%,1,1.56%,6,9.38%,0,0.00%,1,1.56%,0,0.00%,17,26.56%,0,0.00%,0,0.00%,64,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,089",Vote by Mail,,0,0.00%,0,0.00%,5,4.95%,0,,0.00%,0,0.00%,1,,0.99%,0,0.00%,0,0.00%,42,41.58%,0,0.00%,6,5.94%,0,0.00%,0,0.00%,18,17.82%,0,0.00%,0,0.00%,4,3.96%,22,21.78%,2,1.98%,1,0.99%,101,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,089",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,089",Total,,0,0.00%,0,0.00%,6,3.64%,0,,0.00%,0,0.00%,1,,0.61%,0,0.00%,0,0.00%,79,47.88%,0,0.00%,7,4.24%,0,0.00%,1,0.61%,24,14.55%,0,0.00%,1,0.61%,4,2.42%,39,23.64%,2,1.21%,1,0.61%,165,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050742,,0050742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poll Place,"1,029",Poll Place,,0,0.00%,0,0.00%,3,6.38%,0,,0.00%,1,2.13%,0,,0.00%,0,0.00%,0,0.00%,28,59.57%,0,0.00%,0,0.00%,0,0.00%,1,2.13%,1,2.13%,0,0.00%,0,0.00%,0,0.00%,13,27.66%,0,0.00%,0,0.00%,47,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Vote by Mail,"1,029",Vote by Mail,,0,0.00%,0,0.00%,8,7.77%,0,,0.00%,0,0.00%,0,,0.00%,1,0.97%,0,0.00%,59,57.28%,0,0.00%,2,1.94%,0,0.00%,0,0.00%,13,12.62%,0,0.00%,0,0.00%,2,1.94%,18,17.48%,0,0.00%,0,0.00%,103,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Mail Ballot ,"1,029",Mail Ballot ,,0,,0,,0,,0,,,0,,0,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,,0,,0,,0,,0,,0,,0,
Total,"1,029",Total,,0,0.00%,0,0.00%,11,7.33%,0,,0.00%,1,0.67%,0,,0.00%,1,0.67%,0,0.00%,87,58.00%,0,0.00%,2,1.33%,0,0.00%,1,0.67%,14,9.33%,0,0.00%,0,0.00%,2,1.33%,31,20.67%,0,0.00%,0,0.00%,150,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%
0050750,,0050750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
